date,CMCSK
2004-01-01,54
2004-02-01,53
2004-03-01,34
2004-04-01,78
2004-05-01,71
2004-06-01,24
2004-07-01,25
2004-08-01,45
2004-09-01,0
2004-10-01,0
2004-11-01,0
2004-12-01,20
2005-01-01,18
2005-02-01,55
2005-03-01,16
2005-04-01,0
2005-05-01,0
2005-06-01,66
2005-07-01,16
2005-08-01,15
2005-09-01,14
2005-10-01,40
2005-11-01,27
2005-12-01,52
2006-01-01,23
2006-02-01,60
2006-03-01,0
2006-04-01,22
2006-05-01,32
2006-06-01,45
2006-07-01,33
2006-08-01,40
2006-09-01,20
2006-10-01,37
2006-11-01,27
2006-12-01,45
2007-01-01,40
2007-02-01,68
2007-03-01,38
2007-04-01,100
2007-05-01,21
2007-06-01,83
2007-07-01,35
2007-08-01,54
2007-09-01,34
2007-10-01,24
2007-11-01,36
2007-12-01,63
2008-01-01,39
2008-02-01,52
2008-03-01,11
2008-04-01,27
2008-05-01,61
2008-06-01,6
2008-07-01,23
2008-08-01,6
2008-09-01,26
2008-10-01,57
2008-11-01,5
2008-12-01,15
2009-01-01,15
2009-02-01,25
2009-03-01,23
2009-04-01,5
2009-05-01,19
2009-06-01,5
2009-07-01,19
2009-08-01,9
2009-09-01,27
2009-10-01,9
2009-11-01,22
2009-12-01,17
2010-01-01,8
2010-02-01,13
2010-03-01,11
2010-04-01,20
2010-05-01,8
2010-06-01,4
2010-07-01,7
2010-08-01,14
2010-09-01,13
2010-10-01,13
2010-11-01,16
2010-12-01,13
2011-01-01,20
2011-02-01,16
2011-03-01,12
2011-04-01,13
2011-05-01,7
2011-06-01,3
2011-07-01,10
2011-08-01,14
2011-09-01,9
2011-10-01,7
2011-11-01,9
2011-12-01,9
2012-01-01,28
2012-02-01,24
2012-03-01,12
2012-04-01,8
2012-05-01,10
2012-06-01,4
2012-07-01,6
2012-08-01,17
2012-09-01,4
2012-10-01,12
2012-11-01,15
2012-12-01,11
2013-01-01,7
2013-02-01,7
2013-03-01,8
2013-04-01,12
2013-05-01,5
2013-06-01,5
2013-07-01,12
2013-08-01,10
2013-09-01,2
2013-10-01,8
2013-11-01,5
2013-12-01,8
2014-01-01,11
2014-02-01,16
2014-03-01,14
2014-04-01,11
2014-05-01,7
2014-06-01,4
2014-07-01,11
2014-08-01,9
2014-09-01,19
2014-10-01,8
2014-11-01,12
2014-12-01,7
2015-01-01,8
2015-02-01,10
2015-03-01,8
2015-04-01,7
2015-05-01,5
2015-06-01,2
2015-07-01,11
2015-08-01,3
2015-09-01,7
2015-10-01,6
2015-11-01,7
2015-12-01,8
2016-01-01,7
2016-02-01,4
2016-03-01,3
2016-04-01,0
2016-05-01,1
2016-06-01,1
2016-07-01,6
2016-08-01,1
2016-09-01,1
2016-10-01,0
2016-11-01,4
2016-12-01,0
2017-01-01,1
2017-02-01,1
2017-03-01,2
2017-04-01,4
2017-05-01,2
2017-06-01,3
2017-07-01,0
2017-08-01,0
2017-09-01,0
2017-10-01,4
2017-11-01,0
2017-12-01,0
2018-01-01,2
2018-02-01,1
2018-03-01,3
2018-04-01,5
2018-05-01,1
2018-06-01,1
2018-07-01,2
2018-08-01,0
2018-09-01,0
2018-10-01,0
2018-11-01,0
2018-12-01,1
2019-01-01,1
2019-02-01,1
2019-03-01,1
2019-04-01,0
2019-05-01,0
2019-06-01,0
2019-07-01,0
2019-08-01,0
2019-09-01,1
2019-10-01,0
2019-11-01,0
2019-12-01,0
2020-01-01,1
2020-02-01,1
2020-03-01,2
2020-04-01,2
2020-05-01,0
2020-06-01,0
2020-07-01,0
2020-08-01,0
2020-09-01,0
2020-10-01,0
2020-11-01,0
2020-12-01,2
2021-01-01,0
2021-02-01,1
2021-03-01,1
2021-04-01,0
2021-05-01,0
2021-06-01,0
2021-07-01,0
2021-08-01,1
2021-09-01,1
2021-10-01,0
2021-11-01,0
2021-12-01,0
2022-01-01,0
2022-02-01,0
