date,Lisa Palmer
2004-01-01,84
2004-02-01,41
2004-03-01,51
2004-04-01,60
2004-05-01,69
2004-06-01,52
2004-07-01,36
2004-08-01,67
2004-09-01,46
2004-10-01,63
2004-11-01,16
2004-12-01,73
2005-01-01,38
2005-02-01,41
2005-03-01,90
2005-04-01,76
2005-05-01,66
2005-06-01,44
2005-07-01,46
2005-08-01,100
2005-09-01,20
2005-10-01,46
2005-11-01,46
2005-12-01,18
2006-01-01,40
2006-02-01,25
2006-03-01,57
2006-04-01,15
2006-05-01,56
2006-06-01,44
2006-07-01,37
2006-08-01,54
2006-09-01,52
2006-10-01,12
2006-11-01,52
2006-12-01,42
2007-01-01,26
2007-02-01,16
2007-03-01,48
2007-04-01,65
2007-05-01,30
2007-06-01,54
2007-07-01,48
2007-08-01,33
2007-09-01,57
2007-10-01,36
2007-11-01,46
2007-12-01,34
2008-01-01,50
2008-02-01,68
2008-03-01,29
2008-04-01,38
2008-05-01,50
2008-06-01,22
2008-07-01,40
2008-08-01,63
2008-09-01,60
2008-10-01,36
2008-11-01,44
2008-12-01,52
2009-01-01,47
2009-02-01,31
2009-03-01,39
2009-04-01,43
2009-05-01,57
2009-06-01,54
2009-07-01,56
2009-08-01,63
2009-09-01,40
2009-10-01,42
2009-11-01,46
2009-12-01,55
2010-01-01,37
2010-02-01,35
2010-03-01,45
2010-04-01,31
2010-05-01,47
2010-06-01,44
2010-07-01,40
2010-08-01,40
2010-09-01,39
2010-10-01,41
2010-11-01,34
2010-12-01,30
2011-01-01,29
2011-02-01,64
2011-03-01,43
2011-04-01,32
2011-05-01,63
2011-06-01,66
2011-07-01,51
2011-08-01,52
2011-09-01,42
2011-10-01,43
2011-11-01,24
2011-12-01,49
2012-01-01,38
2012-02-01,58
2012-03-01,36
2012-04-01,49
2012-05-01,38
2012-06-01,40
2012-07-01,47
2012-08-01,29
2012-09-01,30
2012-10-01,30
2012-11-01,47
2012-12-01,27
2013-01-01,35
2013-02-01,33
2013-03-01,40
2013-04-01,30
2013-05-01,24
2013-06-01,32
2013-07-01,40
2013-08-01,52
2013-09-01,28
2013-10-01,72
2013-11-01,49
2013-12-01,30
2014-01-01,40
2014-02-01,29
2014-03-01,53
2014-04-01,35
2014-05-01,42
2014-06-01,43
2014-07-01,44
2014-08-01,36
2014-09-01,43
2014-10-01,49
2014-11-01,35
2014-12-01,35
2015-01-01,47
2015-02-01,41
2015-03-01,37
2015-04-01,28
2015-05-01,36
2015-06-01,34
2015-07-01,35
2015-08-01,44
2015-09-01,25
2015-10-01,30
2015-11-01,35
2015-12-01,36
2016-01-01,35
2016-02-01,53
2016-03-01,33
2016-04-01,43
2016-05-01,30
2016-06-01,32
2016-07-01,37
2016-08-01,31
2016-09-01,27
2016-10-01,25
2016-11-01,25
2016-12-01,20
2017-01-01,34
2017-02-01,36
2017-03-01,36
2017-04-01,30
2017-05-01,27
2017-06-01,26
2017-07-01,18
2017-08-01,26
2017-09-01,29
2017-10-01,20
2017-11-01,20
2017-12-01,28
2018-01-01,16
2018-02-01,26
2018-03-01,83
2018-04-01,32
2018-05-01,24
2018-06-01,23
2018-07-01,26
2018-08-01,31
2018-09-01,18
2018-10-01,20
2018-11-01,16
2018-12-01,20
2019-01-01,30
2019-02-01,23
2019-03-01,26
2019-04-01,20
2019-05-01,18
2019-06-01,25
2019-07-01,22
2019-08-01,27
2019-09-01,25
2019-10-01,23
2019-11-01,26
2019-12-01,21
2020-01-01,19
2020-02-01,21
2020-03-01,19
2020-04-01,24
2020-05-01,22
2020-06-01,26
2020-07-01,27
2020-08-01,17
2020-09-01,23
2020-10-01,20
2020-11-01,27
2020-12-01,24
2021-01-01,19
2021-02-01,17
2021-03-01,27
2021-04-01,23
2021-05-01,24
2021-06-01,21
2021-07-01,16
2021-08-01,19
2021-09-01,19
2021-10-01,19
2021-11-01,19
2021-12-01,21
2022-01-01,16
2022-02-01,21
